Dim1,Dim2,Dataset
7.000918908,9.131448665,Muscle cell_Mgp high(Uterus)
6.499139351,9.060555378,Muscle cell_Mgp high(Uterus)
5.735139412,8.729479709,Muscle cell_Mgp high(Uterus)
5.959605259,8.109734455,Muscle cell_Mgp high(Uterus)
5.69799189,9.173262516,Muscle cell_Mgp high(Uterus)
6.420005364,8.853897968,Muscle cell_Mgp high(Uterus)
5.965567154,9.394182125,Muscle cell_Mgp high(Uterus)
6.919636769,8.536312023,Muscle cell_Mgp high(Uterus)
5.800984425,7.863861004,Muscle cell_Mgp high(Uterus)
6.922897858,7.571823517,Muscle cell_Mgp high(Uterus)
6.811414761,9.33268539,Muscle cell_Mgp high(Uterus)
6.849554581,7.893170276,Muscle cell_Mgp high(Uterus)
6.328938527,8.288817325,Muscle cell_Mgp high(Uterus)
6.557762665,8.363044658,Muscle cell_Mgp high(Uterus)
5.044156117,8.849796215,Muscle cell_Mgp high(Uterus)
