a,TSNE_1,TSNE_2,X,
206,V3389,-6.266198085,2.051277524,macrophage_mouse
207,X36.47,-5.079491176,1.741786093,Invasivespongiotrophoblast(Placenta)
208,X49.47,-4.878269608,1.013297886,Invasivespongiotrophoblast(Placenta)
209,X1.49,-2.942652734,-2.071647341,Bcell_Ly6dhigh(Peripheral_Blood)
210,X33.49,-2.890993279,-2.19361407,Bcell_Ly6dhigh(Peripheral_Blood)
211,X43.50,5.233776628,-0.610848171,Bcell_Vpreb3high(Peripheral_Blood)
212,X32.51,-3.751218402,-3.550175614,Tcell_Trbc2high(Peripheral_Blood)
213,X48.52,5.662285534,-1.683377185,Monocyte_F13a1high(Peripheral_Blood)
214,X22.54,5.875018508,-0.760777726,Neutrophil_Camphigh(Peripheral_Blood)
215,X34.54,0.633760485,-5.215574545,Neutrophil_Camphigh(Peripheral_Blood)
216,X32.55,5.758034293,-0.98121438,Monocyte_Elanehigh(Peripheral_Blood)
217,X46.55,5.759915959,-0.951704336,Monocyte_Elanehigh(Peripheral_Blood)
218,X1.56,-0.254409829,-5.980967597,Endothelialcell_Fabp4high(Pancreas)
219,V1666,0.037377176,-5.889563947,macrophage_mouse
220,X10.56,-0.108579511,-5.959178031,Endothelialcell_Fabp4high(Pancreas)
221,X12.56,-0.076298143,-5.93507822,Endothelialcell_Fabp4high(Pancreas)
222,X14.56,0.189733294,-5.383062694,Endothelialcell_Fabp4high(Pancreas)
223,V2786,0.242271617,-5.541652717,macrophage_mouse
224,V273,0.583329692,-5.629211677,macrophage_mouse
225,X15.56,0.323034743,-5.674967488,Endothelialcell_Fabp4high(Pancreas)
226,V588,0.360980154,-5.589095597,macrophage_mouse
227,V2139,0.733867653,-5.481186447,macrophage_mouse
228,V2823,0.619405462,-5.664182151,macrophage_mouse
229,V5453,0.241525381,-5.608494916,macrophage_mouse
230,V5669,0.35317468,-5.670664533,macrophage_mouse
231,X16.56,-0.003813192,-5.840393564,Endothelialcell_Fabp4high(Pancreas)
232,X17.56,-0.291797718,-5.653839572,Endothelialcell_Fabp4high(Pancreas)
233,X18.56,-0.049614617,-5.941549373,Endothelialcell_Fabp4high(Pancreas)
234,X19.56,0.217369037,-5.62952837,Endothelialcell_Fabp4high(Pancreas)
235,X22.56,0.092239525,-5.719494072,Endothelialcell_Fabp4high(Pancreas)
236,X23.56,0.019345096,-5.797051066,Endothelialcell_Fabp4high(Pancreas)
237,X25.56,0.137771155,-5.66360429,Endothelialcell_Fabp4high(Pancreas)
238,X27.56,-0.12288413,-5.943871997,Endothelialcell_Fabp4high(Pancreas)
239,X28.56,-0.25624042,-5.680248749,Endothelialcell_Fabp4high(Pancreas)
240,X30.56,-0.267852673,-5.884081107,Endothelialcell_Fabp4high(Pancreas)
241,X35.56,-0.289158718,-5.717324145,Endothelialcell_Fabp4high(Pancreas)
242,X36.56,-0.14838141,-5.567157355,Endothelialcell_Fabp4high(Pancreas)
243,X37.56,-0.196899183,-5.777044164,Endothelialcell_Fabp4high(Pancreas)
