,0,1,
292,-48.45976,40.2792,Human-Ex Neuron
293,-48.672234,40.235664,Human-Ex Neuron
294,-48.634197,40.006313,Human-Ex Neuron
295,-48.65215,39.772587,Human-Ex Neuron
296,-49.9863,40.927837,Human-Ex Neuron
297,-48.78227,39.467255,Human-Ex Neuron
298,-48.7746,39.255524,Human-Ex Neuron
299,-48.816055,39.08506,Human-Ex Neuron
300,-48.863163,38.891666,Human-Ex Neuron
301,-48.902115,38.721245,Human-Ex Neuron
302,-49.293777,38.643654,Human-Ex Neuron
303,-49.02045,38.363365,Human-Ex Neuron
304,-49.109146,38.204292,Human-Ex Neuron
305,-48.91684,37.97439,Human-Ex Neuron
306,-49.181946,37.87492,Human-Ex Neuron
307,-49.315247,37.727352,Human-Ex Neuron
308,-49.006607,37.435204,Human-Ex Neuron
309,-49.169445,37.292835,Human-Ex Neuron
310,-49.231052,37.136158,Human-Ex Neuron
311,-49.125305,36.924885,Human-Ex Neuron
312,-49.21678,36.763187,Human-Ex Neuron
313,-49.175716,36.588997,Human-Ex Neuron
314,-49.56867,36.355915,Human-Ex Neuron
315,-49.189724,36.23033,Human-Ex Neuron
316,-49.13277,36.07802,Human-Ex Neuron
317,-49.07585,35.934296,Human-Ex Neuron
318,-49.273155,35.656223,Human-Ex Neuron
319,-49.28747,35.455322,Human-Ex Neuron
320,-49.320534,35.19956,Human-Ex Neuron
321,-49.221657,35.093933,Human-Ex Neuron
322,-48.8971,35.156822,Human-Ex Neuron
323,-49.604626,34.31051,Human-Ex Neuron
324,-49.15546,34.514053,Human-Ex Neuron
325,-49.550995,34.017963,Human-Ex Neuron
326,-49.267384,34.019005,Human-Ex Neuron
327,-48.868786,34.077404,Human-Ex Neuron
328,-49.13184,33.688812,Human-Ex Neuron
329,-48.808365,33.688904,Human-Ex Neuron
330,-49.319656,33.25125,Human-Ex Neuron
331,-49.39417,33.01884,Human-Ex Neuron
332,-48.853344,33.099384,Human-Ex Neuron
333,-48.86239,32.90651,Human-Ex Neuron
334,-48.731667,32.77337,Human-Ex Neuron
335,-49.19862,32.359238,Human-Ex Neuron
336,-48.951736,32.286316,Human-Ex Neuron
337,-48.775204,32.1458,Human-Ex Neuron
338,-48.819496,31.936659,Human-Ex Neuron
339,-49.03294,31.750107,Human-Ex Neuron
340,-48.89634,31.587547,Human-Ex Neuron
341,-48.85041,31.423935,Human-Ex Neuron
342,-49.161358,31.36895,Human-Ex Neuron
343,-48.71748,30.969507,Human-Ex Neuron
344,-48.510376,30.555971,Human-Ex Neuron
345,-48.623745,30.468569,Human-Ex Neuron
346,-48.601097,30.290348,Human-Ex Neuron
