,X.comp1,Y.comp1,
481,-7.247467007,-0.079098619,Human-Ex Neuron
482,-9.054026996,-0.079098619,Human-Ex Neuron
483,-7.206310393,-0.079098619,Human-Ex Neuron
484,-6.349755146,-0.079098619,Human-Ex Neuron
485,-8.833126242,-0.079098619,Human-Ex Neuron
486,-4.784940639,-0.079098619,Human-Ex Neuron
487,-4.983056939,-0.079098619,Human-Ex Neuron
488,-4.881161231,-0.079098619,Human-Ex Neuron
489,-2.649994098,-0.079098619,Human-Ex Neuron
490,-3.645738382,-0.079098619,Human-Ex Neuron
491,-3.313632721,-0.079098619,Human-Ex Neuron
492,0.999909301,-0.079098619,Human-Ex Neuron
493,-6.114496218,-0.079098619,Human-Ex Neuron
494,-5.098278187,-0.079098619,Human-Ex Neuron
495,-6.376533,-0.079098619,Human-Ex Neuron
496,-5.133395523,-0.079098619,Human-Ex Neuron
497,-6.734464989,-0.079098619,Human-Ex Neuron
498,2.450698568,-0.079098619,Human-Ex Neuron
499,-5.556463385,-0.079098619,Human-Ex Neuron
500,-8.059611284,-0.079098619,Human-Ex Neuron
501,-5.124982018,-0.079098619,Human-Ex Neuron
502,-7.540227413,-0.079098619,Human-Ex Neuron
503,-3.948230762,-0.079098619,Human-Ex Neuron
504,-7.637995852,-0.079098619,Human-Ex Neuron
505,-0.53180615,-0.079098619,Human-Ex Neuron
506,-5.428709144,-0.079098619,Human-Ex Neuron
507,-5.662318968,-0.079098619,Human-Ex Neuron
508,-5.446915052,-0.079098619,Human-Ex Neuron
509,-3.623172336,-0.079098619,Human-Ex Neuron
510,-8.537236899,-0.079098619,Human-Ex Neuron
511,-7.518605481,-0.079098619,Human-Ex Neuron
512,-7.782470313,-0.079098619,Human-Ex Neuron
513,-7.467722484,-0.079098619,Human-Ex Neuron
514,-6.289382467,-0.079098619,Human-Ex Neuron
515,-8.321778726,-0.079098619,Human-Ex Neuron
516,-6.108613219,-0.079098619,Human-Ex Neuron
517,5.637360526,-0.079098619,Human-Ex Neuron
