,0,1,2,3,4,5,6,7,8,9
98,Excitatory neurons,Early blastocyst cell (86-88h post-fertilization),Connective tissue progenitors,Embryonic stem cell,Connective tissue progenitors,8-cell embryo,embryo 3,embryo 7,Isthmic organizer cells,ES_Actb_high(Embryonic-Stem-Cell)
99,epiblast cell,Mid blastocyst cell (92-94h post-fertilization),Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Epithelial cells,Excitatory neurons,embryo 9,Excitatory neurons,8-cell embryo
100,embryo 7,ES_Actb_high(Embryonic-Stem-Cell),Osteoblasts,epiblast cell,Embryonic stem cell,Epithelial cells,Excitatory neurons,Excitatory neurons,morula,2-cell embryo
101,Postmitotic premature neurons,embryo 10,Excitatory neurons,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Myocytes,2-cell embryo,adult,Embryonic stem cell
102,Postmitotic premature neurons,16-cell stage blastomere,8-cell embryo,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Connective tissue progenitors,Osteoblasts,embryo 9,Oligodendrocyte Progenitors,epiblast cell
103,8-cell embryo,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Schwann cell precursor,epiblast cell,Oligodendrocyte Progenitors,Embryonic stem cell,Connective tissue progenitors,Mid blastocyst cell (92-94h post-fertilization),embryo 14
104,2-cell embryo,Connective tissue progenitors,Inhibitory neurons,ES_Actb_high(Embryonic-Stem-Cell),embryo 14,Inhibitory neurons,Epithelial cells,Embryonic stem cell,2-cell stage blastomere,epiblast cell
105,Definitive erythroid lineage,embryo 7,Mid blastocyst cell (92-94h post-fertilization),Embryonic stem cell,Inhibitory neurons,Inhibitory neurons,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm,embryo 7,4-cell embryo
106,ES_Actb_high(Embryonic-Stem-Cell),embryo 7,Definitive erythroid lineage,Embryonic stem cell,blastocyst,Excitatory neurons,Connective tissue progenitors,2-cell embryo,Epithelial cells,embryo 14
107,Epithelial cells,2-cell embryo,Excitatory neurons,8-cell stage blastomere,Embryonic stem cell,embryo 14,Intermediate Mesoderm,ES_Rps28_high(Embryonic-Stem-Cell),embryo 10,Epithelial cells
108,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Osteoblasts,epiblast cell,embryo 10,Oligodendrocyte Progenitors,Endothelial cells,Epithelial cells,2-cell embryo,Late blastocyst cell (100-102h post-fertilization)
109,epiblast cell,2-cell embryo,embryo 7,8-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),Jaw and tooth progenitors,Embryonic stem cell,Epithelial cells,Endothelial cells,Excitatory neurons
110,Connective tissue progenitors,8-cell embryo,Embryonic stem cell,embryo 10,Definitive erythroid lineage,embryo 10,ES_Nedd4_high(Embryonic-Stem-Cell),Connective tissue progenitors,16-cell stage blastomere,Intermediate Mesoderm
111,epiblast cell,Postmitotic premature neurons,Embryonic stem cell,Excitatory neurons,2-cell embryo,8-cell stage blastomere,embryo 14,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons,Excitatory neurons
112,embryo 7,Osteoblasts,Epithelial cells,embryo 9,Epithelial cells,Mid 2-cell stage blastomere (34-40h post-fertilization),ES_Actb_high(Embryonic-Stem-Cell),2-cell embryo,Embryonic stem cell,Intermediate Mesoderm
113,Connective tissue progenitors,ES cell,embryo 10,ES_Actb_high(Embryonic-Stem-Cell),Early blastocyst cell (86-88h post-fertilization),Embryonic stem cell,epiblast cell,Osteoblasts,Epithelial cells,Epithelial cells
114,Endothelial cells,Epithelial cells,Embryonic stem cell,epiblast cell,Intermediate Mesoderm,Epithelial cells,Mid blastocyst cell (92-94h post-fertilization),embryo 14,4-cell embryo,ES_Actb_high(Embryonic-Stem-Cell)
115,Connective tissue progenitors,Embryonic stem cell,Endothelial cells,embryo 11,2-cell embryo,Isthmic organizer cells,embryo 14,Connective tissue progenitors,4-cell stage blastomere,ES_Actb_high(Embryonic-Stem-Cell)
116,Inhibitory neurons,Connective tissue progenitors,Embryonic stem cell,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),8-cell embryo,ES cell,embryo 9,Epithelial cells,Isthmic organizer cells
117,Embryonic stem cell,2-cell embryo,embryo 14,epiblast cell,Excitatory neurons,8-cell stage blastomere,Endothelial cells,Isthmic organizer cells,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm
118,Excitatory neurons,Embryonic stem cell,embryo 9,Connective tissue progenitors,Definitive erythroid lineage,8-cell embryo,embryo 7,mouse morula,ES_Rps28_high(Embryonic-Stem-Cell),Epithelial cells
119,Inhibitory neurons,embryo 18,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),embryo 14,Excitatory neurons,Intermediate Mesoderm,blastocyst,8-cell stage blastomere,Embryonic stem cell
120,blastocyst,8-cell stage blastomere,Intermediate Mesoderm,embryo 7,Excitatory neurons,Embryonic stem cell,epiblast cell,Oligodendrocyte Progenitors,ES_Actb_high(Embryonic-Stem-Cell),Excitatory neurons
121,2-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),embryo 9,Excitatory neurons,Postmitotic premature neurons,mouse oocyte,Embryonic stem cell,Oligodendrocyte Progenitors,Osteoblasts,embryo 7
122,Epithelial cells,16-cell stage blastomere,Epithelial cells,2-cell embryo,Embryonic stem cell,embryo 7,Excitatory neurons,Inhibitory neurons,embryo 14,ES_Actb_high(Embryonic-Stem-Cell)
123,Excitatory neurons,Isthmic organizer cells,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),Oligodendrocyte Progenitors,Embryonic stem cell,Early blastocyst cell (86-88h post-fertilization),8-cell embryo,Intermediate Mesoderm,embryo 14
124,Excitatory neurons,Excitatory neurons,epiblast cell,ES_Rps28_high(Embryonic-Stem-Cell),Excitatory neurons,4-cell stage blastomere,Epithelial cells,Embryonic stem cell,embryo 7,2-cell embryo
125,Excitatory neurons,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),Postmitotic premature neurons,Isthmic organizer cells,embryo 10,Embryonic stem cell,4-cell stage blastomere,Intermediate Mesoderm,2-cell embryo
126,Endothelial cells,ES_Rps28_high(Embryonic-Stem-Cell),Endothelial cells,epiblast cell,Embryonic stem cell,8-cell stage blastomere,2-cell embryo,embryo 7,Definitive erythroid lineage,Postmitotic premature neurons
127,Epithelial cells,Osteoblasts,Epithelial cells,ES_Actb_high(Embryonic-Stem-Cell),blastocyst,Embryonic stem cell,embryo 10,Zygote,embryo 9,Connective tissue progenitors
