Dim1,Dim2,Dataset
10.21737006,-3.734448032,Stromal cell_Has1 high(Uterus)
15.544364,0.042209978,Stromal cell_Has1 high(Uterus)
15.52511123,0.014675446,Stromal cell_Has1 high(Uterus)
11.81436828,0.066638327,Stromal cell_Has1 high(Uterus)
23.92908004,-15.49566515,Stromal cell_Has1 high(Uterus)
23.95827201,-15.49334104,Stromal cell_Has1 high(Uterus)
13.06114009,1.306582256,Stromal cell_Has1 high(Uterus)
13.1297932,-1.845657186,Stromal cell_Has1 high(Uterus)
12.75353339,1.090233727,Stromal cell_Has1 high(Uterus)
15.69306663,-0.070438587,Stromal cell_Has1 high(Uterus)
12.50578502,-0.30338733,Stromal cell_Has1 high(Uterus)
5.082753687,-3.413682775,Stromal cell_Has1 high(Uterus)
4.457181005,-6.270366745,Stromal cell_Has1 high(Uterus)
9.262595205,-5.143215732,Stromal cell_Has1 high(Uterus)
24.0862036,-15.6226774,Stromal cell_Has1 high(Uterus)
16.80892661,-1.475859479,Stromal cell_Has1 high(Uterus)
7.924543409,-5.777525978,Stromal cell_Has1 high(Uterus)
15.59364989,0.065653747,Stromal cell_Has1 high(Uterus)
11.02508071,-3.339855508,Stromal cell_Has1 high(Uterus)
10.82051566,-1.532401995,Stromal cell_Has1 high(Uterus)
16.47260383,-1.07177742,Stromal cell_Has1 high(Uterus)
11.19220927,-1.41031857,Stromal cell_Has1 high(Uterus)
12.42980006,0.834714218,Stromal cell_Has1 high(Uterus)
12.60092357,-0.330034421,Stromal cell_Has1 high(Uterus)
14.93020251,-0.45218061,Stromal cell_Has1 high(Uterus)
11.53339007,-2.360073642,Stromal cell_Has1 high(Uterus)
12.27197173,-2.420168237,Stromal cell_Has1 high(Uterus)
15.1614466,-0.354673968,Stromal cell_Has1 high(Uterus)
10.23701957,-3.257843809,Stromal cell_Has1 high(Uterus)
14.16608909,-0.824332611,Stromal cell_Has1 high(Uterus)
13.05654243,-1.485750513,Stromal cell_Has1 high(Uterus)
13.61774543,-0.686267929,Stromal cell_Has1 high(Uterus)
23.82124808,-15.39237459,Stromal cell_Has1 high(Uterus)
12.06381801,-0.053286602,Stromal cell_Has1 high(Uterus)
14.83184245,0.345116659,Stromal cell_Has1 high(Uterus)
12.90154365,-0.996109263,Stromal cell_Has1 high(Uterus)
0.978582053,-3.754700737,Glandular epithelium_Sprr2f high(Uterus)
2.273434429,-1.44956799,Glandular epithelium_Sprr2f high(Uterus)
3.514941006,-0.397077904,Glandular epithelium_Sprr2f high(Uterus)
-3.225652905,0.494095786,Glandular epithelium_Sprr2f high(Uterus)
1.260483055,-2.348551111,Glandular epithelium_Sprr2f high(Uterus)
2.003876953,-1.531948523,Glandular epithelium_Sprr2f high(Uterus)
3.136927156,1.570144577,Glandular epithelium_Sprr2f high(Uterus)
1.499011426,0.908008857,Glandular epithelium_Sprr2f high(Uterus)
2.32375577,0.485713197,Glandular epithelium_Sprr2f high(Uterus)
-0.631042243,2.363892241,Glandular epithelium_Sprr2f high(Uterus)
2.972197323,-0.778253512,Glandular epithelium_Sprr2f high(Uterus)
4.233607798,-2.494988517,Glandular epithelium_Sprr2f high(Uterus)
0.132650881,-0.788910286,Glandular epithelium_Sprr2f high(Uterus)
1.070498972,-2.314739542,Glandular epithelium_Sprr2f high(Uterus)
-3.358032436,-2.22643526,Glandular epithelium_Sprr2f high(Uterus)
0.040140836,-0.022980397,Glandular epithelium_Sprr2f high(Uterus)
2.403982668,0.271461739,Glandular epithelium_Sprr2f high(Uterus)
-2.250959606,-1.364162998,Glandular epithelium_Sprr2f high(Uterus)
0.066619186,-0.805593686,Glandular epithelium_Sprr2f high(Uterus)
-2.663252325,-1.315239505,Glandular epithelium_Sprr2f high(Uterus)
3.2980161,0.343714728,Glandular epithelium_Sprr2f high(Uterus)
0.816582828,-0.837218003,Glandular epithelium_Sprr2f high(Uterus)
-0.874093951,-1.979096012,Glandular epithelium_Sprr2f high(Uterus)
3.845238714,1.585719629,Glandular epithelium_Sprr2f high(Uterus)
1.17667058,-1.79193552,Glandular epithelium_Sprr2f high(Uterus)
0.493043094,-0.125668914,Glandular epithelium_Sprr2f high(Uterus)
-3.941639156,-0.852092163,Glandular epithelium_Sprr2f high(Uterus)
2.021641998,-1.366765933,Glandular epithelium_Sprr2f high(Uterus)
3.976701765,0.30294217,Glandular epithelium_Sprr2f high(Uterus)
-0.817796679,0.7931215,Glandular epithelium_Sprr2f high(Uterus)
0.988462954,-2.728187875,Glandular epithelium_Sprr2f high(Uterus)
3.141647129,0.410907968,Glandular epithelium_Sprr2f high(Uterus)
-2.100564928,-0.18318695,Glandular epithelium_Sprr2f high(Uterus)
0.043061225,-2.441537933,Glandular epithelium_Sprr2f high(Uterus)
1.379164009,1.592544003,Glandular epithelium_Sprr2f high(Uterus)
