,0,1,
285,0.152081221,0.570220172,Human-Ex Neuron
286,0.154552549,0.64283216,Human-Ex Neuron
287,0.149841473,0.570758998,Human-Ex Neuron
288,0.217762664,0.632268131,Human-Ex Neuron
289,0.156219259,0.591101944,Human-Ex Neuron
290,0.23281543,0.643511534,Human-Ex Neuron
291,0.22175619,0.666423559,Human-Ex Neuron
292,0.160250947,0.560551107,Human-Ex Neuron
293,0.315154254,0.770865202,Human-Ex Neuron
294,0.189661756,0.60749352,Human-Ex Neuron
295,0.165865496,0.578212917,Human-Ex Neuron
296,0.315849334,0.78379488,Human-Ex Neuron
297,0.149223104,0.57782042,Human-Ex Neuron
298,0.163557231,0.556808114,Human-Ex Neuron
299,0.234901398,0.659767509,Human-Ex Neuron
300,0.31093666,0.769810438,Human-Ex Neuron
301,0.316905528,0.754352331,Human-Ex Neuron
302,0.257004887,0.660737336,Human-Ex Neuron
303,0.160855755,0.56736207,Human-Ex Neuron
304,0.141791284,0.572100639,Human-Ex Neuron
305,0.303616166,0.749645174,Human-Ex Neuron
306,0.166713297,0.601886451,Human-Ex Neuron
307,0.18980591,0.614834011,Human-Ex Neuron
308,0.14433004,0.57902509,Human-Ex Neuron
309,0.229986578,0.642548084,Human-Ex Neuron
310,0.322336316,0.775591612,Human-Ex Neuron
311,0.191998914,0.600400686,Human-Ex Neuron
312,0.157337159,0.587668657,Human-Ex Neuron
313,0.17975004,0.590768695,Human-Ex Neuron
314,0.239937544,0.690486014,Human-Ex Neuron
315,0.129719019,0.59161365,Human-Ex Neuron
316,0.137725681,0.586208522,Human-Ex Neuron
317,0.166515976,0.550164104,Human-Ex Neuron
318,0.321035355,0.783358872,Human-Ex Neuron
319,0.146321446,0.558313131,Human-Ex Neuron
320,0.224526525,0.640565634,Human-Ex Neuron
321,0.311623186,0.776995361,Human-Ex Neuron
322,0.152697444,0.579603136,Human-Ex Neuron
323,0.282416821,0.752385557,Human-Ex Neuron
324,0.146843836,0.566248119,Human-Ex Neuron
325,0.143142909,0.566270947,Human-Ex Neuron
326,0.135698244,0.57333523,Human-Ex Neuron
327,0.288140208,0.730065107,Human-Ex Neuron
328,0.142641932,0.563674688,Human-Ex Neuron
329,0.18617706,0.61558044,Human-Ex Neuron
330,0.31119284,0.735592186,Human-Ex Neuron
331,0.324574977,0.754657745,Human-Ex Neuron
332,0.217528597,0.642680824,Human-Ex Neuron
333,0.319730818,0.763850868,Human-Ex Neuron
334,0.314935893,0.737656057,Human-Ex Neuron
335,0.124036327,0.557910681,Human-Ex Neuron
336,0.221480012,0.636184573,Human-Ex Neuron
337,0.149276987,0.578940868,Human-Ex Neuron
338,0.18540062,0.605046451,Human-Ex Neuron
339,0.140688002,0.572842836,Human-Ex Neuron
340,0.141534731,0.575105071,Human-Ex Neuron
341,0.309980392,0.782835782,Human-Ex Neuron
342,0.276138246,0.724675715,Human-Ex Neuron
343,0.157430649,0.56614393,Human-Ex Neuron
344,0.310445666,0.735417366,Human-Ex Neuron
345,0.176224306,0.601373374,Human-Ex Neuron
346,0.165073708,0.601021528,Human-Ex Neuron
347,0.20301035,0.612096488,Human-Ex Neuron
348,0.248060167,0.740711868,Human-Ex Neuron
349,0.165485486,0.595021963,Human-Ex Neuron
350,0.215613186,0.695637763,Human-Ex Neuron
